 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
Ab phrygian (4b), 1, 4, 4, 5, 2, 3, 3, 3, 1, 3, 4, 3, 2, 2, 2, 2, 0, 3, 1, 2, 2, 4, 0, 3, 4, 4, 4, 5, 2, 3, 3, 3, 1, 88
E phrygian (4#), 1, 3, 3, 2, 3, 4, 4, 2, 2, 5, 3, 5, 3, 4, 3, 5, 1, 4, 1, 4, 2, 2, 1, 2, 2, 3, 3, 2, 3, 4, 4, 2, 2, 94
Ab lydian (4b), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
E lydian (4#), 1, 4, 2, 4, 1, 5, 6, 2, 0, 5, 3, 3, 1, 4, 1, 2, 1, 3, 1, 3, 4, 4, 0, 1, 2, 4, 2, 4, 1, 5, 6, 2, 0, 87
Ab mixolydian (4b), 1, 3, 3, 3, 1, 5, 7, 1, 0, 4, 2, 4, 1, 5, 1, 1, 2, 4, 0, 2, 5, 3, 1, 2, 2, 3, 3, 3, 1, 5, 7, 1, 0, 86
E mixolydian (4#), 1, 4, 5, 5, 3, 3, 6, 3, 1, 3, 4, 4, 2, 3, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 4, 5, 5, 3, 3, 6, 3, 1, 110
Ab aeolian (4b), 1, 5, 5, 6, 3, 4, 9, 3, 1, 4, 3, 4, 3, 4, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 5, 5, 6, 3, 4, 9, 3, 1, 124
E aeolian (4#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
Ab locrian (4b), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
E locrian (4#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
Db major (5b), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
B major (5#), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
Bb minor (5b), 0, 3, 3, 5, 2, 2, 4, 3, 1, 2, 3, 2, 2, 1, 3, 3, 0, 2, 2, 1, 2, 3, 0, 3, 3, 3, 3, 5, 2, 2, 4, 3, 1, 78
G# minor (5#), 0, 2, 2, 3, 3, 2, 5, 1, 0, 3, 3, 1, 1, 1, 3, 2, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 5, 1, 0, 65
Bb minor mel (5b), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 2, 3, 1, 3, 2, 0, 1, 5, 0, 1, 3, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 78
G# minor mel (5#), 0, 4, 2, 5, 3, 3, 7, 3, 1, 4, 1, 1, 3, 2, 4, 3, 0, 4, 2, 2, 1, 3, 0, 1, 1, 4, 2, 5, 3, 3, 7, 3, 1, 88
Db major blues (5b), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
B major blues (5#), 1, 4, 2, 4, 1, 5, 6, 2, 0, 5, 3, 3, 1, 4, 1, 2, 1, 3, 1, 3, 4, 4, 0, 1, 2, 4, 2, 4, 1, 5, 6, 2, 0, 87
Bb minor blues (5b), 1, 3, 3, 3, 1, 5, 7, 1, 0, 4, 2, 4, 1, 5, 1, 1, 2, 4, 0, 2, 5, 3, 1, 2, 2, 3, 3, 3, 1, 5, 7, 1, 0, 86
G# minor blues (5#), 1, 4, 5, 5, 3, 3, 6, 3, 1, 3, 4, 4, 2, 3, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 4, 5, 5, 3, 3, 6, 3, 1, 110
Db dorian (5b), 1, 5, 5, 6, 3, 4, 9, 3, 1, 4, 3, 4, 3, 4, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 5, 5, 6, 3, 4, 9, 3, 1, 124
B dorian (5#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
Db phrygian (5b), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
B phrygian (5#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
Db lydian (5b), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
B lydian (5#), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
