 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, rowcost
C minor blues (3b), 1, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 1, 2, 2, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 2,  , 1, 2, 2, 5, 3, 4, 3, 2, 1, 103
F# minor blues (3#), 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 2, 3, 2, 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 3, 3,  , 1, 2, 2, 3, 3, 4, 4, 3, 2, 101
Eb dorian (3b), 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 2, 3, 3, 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 3, 3,  , 1, 2, 2, 4, 4, 4, 4, 3, 2, 106
A dorian (3#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
Eb phrygian (3b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
A phrygian (3#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
Eb lydian (3b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
A lydian (3#), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
Eb mixolydian (3b), 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 0, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 2, 1,  , 0, 1, 0, 0, 1, 3, 1, 1, 1, 47
A mixolydian (3#), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
Eb aeolian (3b), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
A aeolian (3#), 1, 1, 3, 0, 1, 1, 4, 1, 3, 1, 2, 3, 1, 1, 2, 3, 1, 1, 3, 0, 1, 1, 4, 1, 3, 1, 2, 3, 1, 2, 3,  , 1, 2, 1, 2, 3, 2, 3, 2, 2, 73
Eb locrian (3b), 1, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 1, 2, 2, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 2,  , 1, 2, 1, 4, 4, 4, 2, 3, 2, 97
A locrian (3#), 1, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 1, 2, 2, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 2,  , 1, 2, 2, 5, 3, 4, 3, 2, 1, 103
Ab major (4b), 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 2, 3, 2, 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 3, 3,  , 1, 2, 2, 3, 3, 4, 4, 3, 2, 101
E major (4#), 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 2, 3, 3, 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 3, 3,  , 1, 2, 2, 4, 4, 4, 4, 3, 2, 106
F minor (4b), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
C# minor (4#), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
F minor mel (4b), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
C# minor mel (4#), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
Ab major blues (4b), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
E major blues (4#), 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 0, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 2, 1,  , 0, 1, 0, 0, 1, 3, 1, 1, 1, 47
F minor blues (4b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
C# minor blues (4#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
Ab dorian (4b), 1, 1, 3, 0, 1, 1, 4, 1, 3, 1, 2, 3, 1, 1, 2, 3, 1, 1, 3, 0, 1, 1, 4, 1, 3, 1, 2, 3, 1, 2, 3,  , 1, 2, 1, 2, 3, 2, 3, 2, 2, 73
E dorian (4#), 2, 2, 6, 1, 2, 1, 5, 0, 2, 3, 0, 3, 2, 1, 0, 3, 2, 2, 6, 1, 2, 1, 5, 0, 2, 3, 0, 3, 2, 1, 4,  , 2, 1, 3, 4, 2, 1, 5, 1, 0, 86
Ab phrygian (4b), 1, 1, 2, 1, 1, 0, 3, 1, 4, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 0, 3, 1, 4, 1, 2, 2, 2, 3, 2,  , 1, 2, 1, 1, 2, 4, 2, 2, 1, 68
E phrygian (4#), 3, 3, 5, 0, 1, 1, 4, 0, 2, 4, 1, 3, 2, 2, 1, 3, 4, 3, 5, 0, 1, 1, 4, 0, 2, 4, 1, 3, 2, 4, 4,  , 3, 2, 3, 5, 3, 3, 4, 1, 0, 97
Ab lydian (4b), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
E lydian (4#), 1, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 1, 2, 2, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 2,  , 1, 2, 1, 4, 4, 4, 2, 3, 2, 97
Ab mixolydian (4b), 1, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 1, 2, 2, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 2,  , 1, 2, 2, 5, 3, 4, 3, 2, 1, 103
E mixolydian (4#), 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 2, 3, 2, 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 3, 3,  , 1, 2, 2, 3, 3, 4, 4, 3, 2, 101
Ab aeolian (4b), 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 2, 3, 3, 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 3, 3,  , 1, 2, 2, 4, 4, 4, 4, 3, 2, 106
E aeolian (4#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
Ab locrian (4b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
E locrian (4#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
Db major (5b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
