 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
Gb dorian (6b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
F# dorian (6#), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
Gb phrygian (6b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
F# phrygian (6#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
Gb lydian (6b), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 9
F# lydian (6#), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7
Gb mixolydian (6b), 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 11
F# mixolydian (6#), 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 9
Gb aeolian (6b), 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7
F# aeolian (6#), 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 5
Gb locrian (6b), 2, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 19
F# locrian (6#), 2, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 17
Cb major (7b), 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 12
C# major (7#), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7
Ab minor (7b), 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 2, 2, 1, 0, 0, 17
A# minor (7#), 0, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 13
Ab minor mel (7b), 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 1, 2, 1, 0, 0, 13
A# minor mel (7#), 0, 1, 2, 1, 3, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 3, 2, 0, 1, 3, 2, 0, 0, 23
Cb major blues (7b), 3, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 37
C# major blues (7#), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 9
Ab minor blues (7b), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7
A# minor blues (7#), 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 11
Cb dorian (7b), 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 9
C# dorian (7#), 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7
Cb phrygian (7b), 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 5
C# phrygian (7#), 2, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 19
Cb lydian (7b), 2, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 17
C# lydian (7#), 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 12
Cb mixolydian (7b), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7
C# mixolydian (7#), 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 2, 2, 1, 0, 0, 17
Cb aeolian (7b), 0, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 13
C# aeolian (7#), 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 1, 2, 1, 0, 0, 13
Cb locrian (7b), 3, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 33
C# locrian (7#), 3, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 37
