 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
Eb dorian (3b), 0, 2, 1, 2, 2, 2, 1, 2, 3, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 5, 0, 51
A dorian (3#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Eb phrygian (3b), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
A phrygian (3#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Eb lydian (3b), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
A lydian (3#), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
Eb mixolydian (3b), 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 3, 0, 3, 2, 0, 2, 1, 1, 0, 2, 0, 29
A mixolydian (3#), 0, 1, 0, 4, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 1, 0, 4, 1, 0, 0, 1, 0, 28
Eb aeolian (3b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
A aeolian (3#), 1, 2, 0, 2, 2, 0, 1, 1, 3, 4, 1, 1, 2, 0, 0, 1, 4, 0, 3, 2, 0, 2, 2, 0, 1, 2, 0, 37
Eb locrian (3b), 0, 1, 1, 2, 0, 2, 1, 2, 1, 5, 1, 0, 2, 1, 1, 1, 3, 0, 3, 1, 1, 2, 0, 2, 1, 4, 1, 39
A locrian (3#), 0, 1, 2, 1, 1, 2, 2, 2, 2, 5, 1, 0, 3, 1, 1, 0, 2, 1, 4, 1, 2, 1, 1, 2, 2, 5, 1, 46
Ab major (4b), 0, 2, 1, 2, 2, 2, 1, 2, 3, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 4, 0, 48
E major (4#), 0, 2, 1, 2, 2, 2, 1, 2, 3, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 5, 0, 51
F minor (4b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
C# minor (4#), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
F minor mel (4b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
C# minor mel (4#), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
Ab major blues (4b), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
E major blues (4#), 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 3, 0, 3, 2, 0, 2, 1, 1, 0, 2, 0, 29
F minor blues (4b), 0, 1, 0, 4, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 1, 0, 4, 1, 0, 0, 1, 0, 28
C# minor blues (4#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Ab dorian (4b), 1, 2, 0, 2, 2, 0, 1, 1, 3, 4, 1, 1, 2, 0, 0, 1, 4, 0, 3, 2, 0, 2, 2, 0, 1, 2, 0, 37
E dorian (4#), 0, 0, 2, 0, 2, 2, 1, 1, 4, 4, 0, 1, 4, 0, 0, 0, 2, 1, 3, 0, 2, 0, 2, 2, 1, 5, 0, 39
Ab phrygian (4b), 0, 1, 0, 2, 0, 2, 0, 2, 2, 3, 0, 1, 2, 0, 0, 1, 3, 0, 3, 1, 0, 2, 0, 2, 0, 3, 0, 30
E phrygian (4#), 1, 5, 2, 3, 2, 4, 2, 4, 3, 6, 1, 0, 2, 1, 1, 0, 0, 0, 5, 5, 2, 3, 2, 4, 2, 7, 1, 68
Ab lydian (4b), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
E lydian (4#), 0, 1, 1, 2, 0, 2, 1, 2, 1, 5, 1, 0, 2, 1, 1, 1, 3, 0, 3, 1, 1, 2, 0, 2, 1, 4, 1, 39
Ab mixolydian (4b), 0, 1, 2, 1, 1, 2, 2, 2, 2, 5, 1, 0, 3, 1, 1, 0, 2, 1, 4, 1, 2, 1, 1, 2, 2, 5, 1, 46
E mixolydian (4#), 0, 2, 1, 2, 2, 2, 1, 2, 3, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 4, 0, 48
Ab aeolian (4b), 0, 2, 1, 2, 2, 2, 1, 2, 3, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 5, 0, 51
E aeolian (4#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Ab locrian (4b), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
E locrian (4#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Db major (5b), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
B major (5#), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
Bb minor (5b), 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 3, 0, 3, 2, 0, 2, 1, 1, 0, 2, 0, 29
G# minor (5#), 0, 1, 0, 4, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 1, 0, 4, 1, 0, 0, 1, 0, 28
Bb minor mel (5b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
G# minor mel (5#), 1, 2, 0, 2, 2, 0, 1, 1, 3, 4, 1, 1, 2, 0, 0, 1, 4, 0, 3, 2, 0, 2, 2, 0, 1, 2, 0, 37
Db major blues (5b), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
B major blues (5#), 0, 1, 1, 2, 0, 2, 1, 2, 1, 5, 1, 0, 2, 1, 1, 1, 3, 0, 3, 1, 1, 2, 0, 2, 1, 4, 1, 39
Bb minor blues (5b), 0, 1, 2, 1, 1, 2, 2, 2, 2, 5, 1, 0, 3, 1, 1, 0, 2, 1, 4, 1, 2, 1, 1, 2, 2, 5, 1, 46
G# minor blues (5#), 0, 2, 1, 2, 2, 2, 1, 2, 3, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 4, 0, 48
Db dorian (5b), 0, 2, 1, 2, 2, 2, 1, 2, 3, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 5, 0, 51
B dorian (5#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Db phrygian (5b), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
B phrygian (5#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Db lydian (5b), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
B lydian (5#), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
