 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
A dorian (3#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Eb phrygian (3b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
A phrygian (3#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Eb lydian (3b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
A lydian (3#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
Eb mixolydian (3b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 22
A mixolydian (3#), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
Eb aeolian (3b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
A aeolian (3#), 1, 0, 1, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 4, 1, 1, 29
Eb locrian (3b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 15
A locrian (3#), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 4, 0, 0, 28
Ab major (4b), 2, 2, 2, 2, 2, 0, 5, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 5, 0, 0, 35
E major (4#), 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 4, 0, 0, 33
F minor (4b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
C# minor (4#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
F minor mel (4b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
C# minor mel (4#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
Ab major blues (4b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
E major blues (4#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 22
F minor blues (4b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
C# minor blues (4#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Ab dorian (4b), 1, 0, 1, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 4, 1, 1, 29
E dorian (4#), 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 0, 25
Ab phrygian (4b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 21
E phrygian (4#), 6, 2, 6, 2, 4, 1, 5, 1, 6, 1, 1, 2, 1, 4, 2, 2, 1, 1, 6, 2, 6, 2, 4, 1, 5, 1, 1, 76
Ab lydian (4b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
E lydian (4#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 15
Ab mixolydian (4b), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 4, 0, 0, 28
E mixolydian (4#), 2, 2, 2, 2, 2, 0, 5, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 5, 0, 0, 35
Ab aeolian (4b), 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 4, 0, 0, 33
E aeolian (4#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Ab locrian (4b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
E locrian (4#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Db major (5b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
B major (5#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
Bb minor (5b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 22
G# minor (5#), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
Bb minor mel (5b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
G# minor mel (5#), 1, 0, 1, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 4, 1, 1, 29
Db major blues (5b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
B major blues (5#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 15
Bb minor blues (5b), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 4, 0, 0, 28
G# minor blues (5#), 2, 2, 2, 2, 2, 0, 5, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 5, 0, 0, 35
Db dorian (5b), 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 4, 0, 0, 33
B dorian (5#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Db phrygian (5b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
B phrygian (5#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Db lydian (5b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
