 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
Gb major blues (6b), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
F# major blues (6#), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
Eb minor blues (6b), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
D# minor blues (6#), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
Gb dorian (6b), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
F# dorian (6#), 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 24
Gb phrygian (6b), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 17
F# phrygian (6#), 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 11
Gb lydian (6b), 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 1, 2, 3, 1, 1, 3, 4, 0, 3, 3, 3, 3, 0, 0, 52
F# lydian (6#), 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 0, 3, 2, 2, 2, 0, 0, 35
Gb mixolydian (6b), 2, 2, 3, 2, 2, 4, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 2, 4, 2, 1, 4, 2, 2, 1, 1, 46
F# mixolydian (6#), 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 2, 1, 3, 1, 1, 1, 1, 29
Gb aeolian (6b), 2, 3, 2, 2, 2, 4, 2, 2, 2, 2, 1, 1, 2, 2, 0, 0, 3, 4, 1, 2, 4, 3, 3, 1, 1, 51
F# aeolian (6#), 1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 2, 3, 2, 2, 1, 1, 34
Gb locrian (6b), 0, 2, 3, 0, 2, 4, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 4, 2, 1, 4, 0, 2, 1, 1, 32
F# locrian (6#), 0, 1, 3, 0, 1, 3, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 1, 3, 0, 1, 1, 1, 22
Cb major (7b), 2, 2, 3, 2, 2, 4, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 2, 4, 3, 2, 4, 2, 2, 2, 2, 50
C# major (7#), 1, 2, 2, 2, 5, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 3, 0, 3, 2, 2, 2, 0, 0, 43
Ab minor (7b), 2, 1, 3, 2, 2, 4, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 1, 2, 1, 4, 2, 1, 1, 1, 35
A# minor (7#), 0, 4, 2, 1, 5, 4, 3, 2, 2, 1, 2, 2, 2, 4, 1, 1, 2, 4, 0, 4, 4, 2, 5, 0, 0, 57
Ab minor mel (7b), 2, 2, 2, 2, 2, 4, 2, 0, 0, 2, 1, 1, 0, 2, 0, 0, 3, 1, 1, 2, 4, 3, 2, 1, 1, 40
A# minor mel (7#), 0, 4, 2, 1, 3, 4, 3, 0, 0, 1, 2, 2, 0, 4, 1, 1, 2, 2, 0, 4, 4, 2, 5, 0, 0, 47
Cb major blues (7b), 2, 3, 3, 2, 2, 4, 2, 2, 2, 2, 1, 1, 2, 2, 0, 0, 3, 4, 3, 3, 4, 3, 4, 2, 2, 58
C# major blues (7#), 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 1, 2, 3, 1, 1, 3, 4, 0, 3, 3, 3, 3, 0, 0, 52
Ab minor blues (7b), 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 0, 3, 2, 2, 2, 0, 0, 35
A# minor blues (7#), 2, 2, 3, 2, 2, 4, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 2, 4, 2, 1, 4, 2, 2, 1, 1, 46
Cb dorian (7b), 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 2, 1, 3, 1, 1, 1, 1, 29
C# dorian (7#), 2, 3, 2, 2, 2, 4, 2, 2, 2, 2, 1, 1, 2, 2, 0, 0, 3, 4, 1, 2, 4, 3, 3, 1, 1, 51
Cb phrygian (7b), 1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 2, 3, 2, 2, 1, 1, 34
C# phrygian (7#), 0, 2, 3, 0, 2, 4, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 4, 2, 1, 4, 0, 2, 1, 1, 32
