 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
Bb mixolydian (2b), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
D mixolydian (2#), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
Bb aeolian (2b), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
D aeolian (2#), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
Bb locrian (2b), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
D locrian (2#), 0, 5, 7, 5, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 7, 5, 8, 4, 2, 85
Eb major (3b), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
A major (3#), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
C minor (3b), 0, 5, 5, 5, 4, 2, 0, 0, 1, 2, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 5, 5, 5, 4, 1, 70
F# minor (3#), 1, 5, 4, 2, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0,  , 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 4, 2, 2, 2, 0, 41
C minor mel (3b), 0, 6, 6, 4, 5, 2, 1, 1, 1, 3, 1, 2, 1, 1,  , 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 6, 4, 7, 3, 1, 66
F# minor mel (3#), 2, 7, 3, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1,  , 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 5, 3, 1, 1, 0, 1, 44
Eb major blues (3b), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
A major blues (3#), 1, 6, 3, 3, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 3, 3, 3, 0, 44
C minor blues (3b), 1, 7, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 2, 2, 2, 0, 34
F# minor blues (3#), 0, 7, 7, 6, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 7, 6, 8, 5, 2, 98
Eb dorian (3b), 0, 7, 6, 6, 5, 2, 1, 1, 2, 2, 2, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 6, 6, 6, 5, 2, 92
A dorian (3#), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
Eb phrygian (3b), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
A phrygian (3#), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
