 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
D# minor (6#),  ,  ,  ,  , 0, 2, 0, 1, 1, 3, 0, 0, 0, 1, 0, 2, 10
Eb minor mel (6b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
D# minor mel (6#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Gb major blues (6b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
F# major blues (6#),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
Eb minor blues (6b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
D# minor blues (6#),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
Gb dorian (6b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
F# dorian (6#),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
Gb phrygian (6b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
F# phrygian (6#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Gb lydian (6b),  ,  ,  ,  , 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 8
F# lydian (6#),  ,  ,  ,  , 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 4
Gb mixolydian (6b),  ,  ,  ,  , 1, 3, 1, 1, 1, 3, 1, 1, 0, 2, 1, 3, 18
F# mixolydian (6#),  ,  ,  ,  , 1, 2, 1, 1, 1, 2, 1, 1, 0, 1, 1, 2, 14
Gb aeolian (6b),  ,  ,  ,  , 1, 3, 1, 1, 0, 2, 1, 1, 0, 2, 1, 3, 16
F# aeolian (6#),  ,  ,  ,  , 1, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 12
Gb locrian (6b),  ,  ,  ,  , 1, 4, 1, 1, 1, 4, 1, 1, 0, 2, 1, 4, 21
F# locrian (6#),  ,  ,  ,  , 1, 3, 1, 1, 1, 3, 1, 1, 0, 1, 1, 3, 17
Cb major (7b),  ,  ,  ,  , 2, 4, 2, 2, 1, 3, 2, 2, 0, 2, 2, 4, 26
C# major (7#),  ,  ,  ,  , 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 8
Ab minor (7b),  ,  ,  ,  , 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 10
A# minor (7#),  ,  ,  ,  , 0, 2, 0, 0, 0, 2, 0, 0, 1, 2, 0, 2, 9
Ab minor mel (7b),  ,  ,  ,  , 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 8
A# minor mel (7#),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
Cb major blues (7b),  ,  ,  ,  , 2, 5, 2, 3, 1, 4, 2, 2, 0, 2, 2, 5, 30
C# major blues (7#),  ,  ,  ,  , 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 8
Ab minor blues (7b),  ,  ,  ,  , 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 4
A# minor blues (7#),  ,  ,  ,  , 1, 3, 1, 1, 1, 3, 1, 1, 0, 2, 1, 3, 18
Cb dorian (7b),  ,  ,  ,  , 1, 2, 1, 1, 1, 2, 1, 1, 0, 1, 1, 2, 14
C# dorian (7#),  ,  ,  ,  , 1, 3, 1, 1, 0, 2, 1, 1, 0, 2, 1, 3, 16
Cb phrygian (7b),  ,  ,  ,  , 1, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 12
C# phrygian (7#),  ,  ,  ,  , 1, 4, 1, 1, 1, 4, 1, 1, 0, 2, 1, 4, 21
Cb lydian (7b),  ,  ,  ,  , 1, 3, 1, 1, 1, 3, 1, 1, 0, 1, 1, 3, 17
C# lydian (7#),  ,  ,  ,  , 2, 4, 2, 2, 1, 3, 2, 2, 0, 2, 2, 4, 26
Cb mixolydian (7b),  ,  ,  ,  , 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 8
C# mixolydian (7#),  ,  ,  ,  , 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 10
Cb aeolian (7b),  ,  ,  ,  , 0, 2, 0, 0, 0, 2, 0, 0, 1, 2, 0, 2, 9
C# aeolian (7#),  ,  ,  ,  , 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 8
Cb locrian (7b),  ,  ,  ,  , 2, 5, 2, 3, 1, 4, 2, 2, 0, 2, 2, 5, 30
C# locrian (7#),  ,  ,  ,  , 2, 5, 2, 3, 1, 4, 2, 2, 0, 2, 2, 5, 30
