 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
E locrian (4#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Db major (5b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
B major (5#), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
Bb minor (5b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
G# minor (5#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Bb minor mel (5b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
G# minor mel (5#), 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 15
Db major blues (5b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
B major blues (5#), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
Bb minor blues (5b), 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 43
G# minor blues (5#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Db dorian (5b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
B dorian (5#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Db phrygian (5b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
B phrygian (5#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Db lydian (5b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
B lydian (5#), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
Db mixolydian (5b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
B mixolydian (5#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Db aeolian (5b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
B aeolian (5#), 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 15
Db locrian (5b), 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 4, 1, 1, 1, 4, 2, 2, 1, 2, 2, 2, 1, 1, 1, 42
B locrian (5#), 2, 2, 1, 2, 2, 3, 2, 2, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 1, 2, 2, 2, 1, 1, 44
