 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
D dorian (2#), 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 2, 1, 27
Bb phrygian (2b), 1, 0, 2, 1, 1, 0, 1, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 41
D phrygian (2#), 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 28
Bb lydian (2b), 0, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 3, 3, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 61
D lydian (2#), 0, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 3, 0, 0, 2, 3, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 57
Bb mixolydian (2b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 21
D mixolydian (2#), 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
Bb aeolian (2b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 21
D aeolian (2#), 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
Bb locrian (2b), 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 2, 2, 1, 0, 0, 2, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 34
D locrian (2#), 0, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 3, 3, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
Eb major (3b), 0, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
A major (3#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 17
C minor (3b), 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 38
F# minor (3#), 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 2, 2, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 1, 2, 2, 1, 1, 2, 2, 0, 0, 2, 1, 1, 3, 0, 48
C minor mel (3b), 0, 0, 1, 2, 1, 0, 1, 1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 0, 0, 2, 3, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 44
F# minor mel (3#), 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 0, 2, 1, 2, 1, 1, 1, 2, 0, 0, 1, 1, 2, 1, 2, 1, 1, 1, 0, 0, 2, 2, 0, 1, 2, 4, 3, 1, 3, 4, 0, 0, 3, 2, 2, 4, 1, 67
Eb major blues (3b), 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 2, 2, 1, 0, 0, 2, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 34
A major blues (3#), 1, 0, 2, 1, 1, 0, 1, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 41
C minor blues (3b), 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 28
F# minor blues (3#), 0, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 3, 3, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 61
Eb dorian (3b), 0, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 3, 0, 0, 2, 3, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 57
A dorian (3#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 21
Eb phrygian (3b), 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
A phrygian (3#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 21
Eb lydian (3b), 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
A lydian (3#), 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 2, 2, 1, 0, 0, 2, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 34
Eb mixolydian (3b), 0, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 3, 3, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
A mixolydian (3#), 0, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
Eb aeolian (3b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 17
A aeolian (3#), 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 38
Eb locrian (3b), 1, 0, 2, 1, 1, 0, 1, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 41
A locrian (3#), 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 28
